url,price_in_rp,title,address,district,city,property_type,land_size_m2,building_size_m2,bedrooms,bathrooms,carports
https://www.rumah123.com/properti/solo-banjarsari/rumah-dijual-solodi-sumber-banjarsari-surakarta-hos41508595/,2000000000.0,Rumah Dijual Solo.di Sumber Banjarsari Surakarta,"Banjarsari, Solo",Banjarsari,Solo,rumah,234.0,350.0,5.0,4.0,3.0
https://www.rumah123.com/properti/sukoharjo-kartasura/rumah-dijual-solo-di-ngadirejo-kartasura-sukoharjo-hos19233577/,800000000.0,Rumah Dijual Solo Di Ngadirejo Kartasura Sukoharjo,"Kartasura, Sukoharjo",Kartasura,Sukoharjo,rumah,305.0,200.0,3.0,2.0,2.0
https://www.rumah123.com/properti/surakarta-banjarsari/rumah-mewah-dijual-solo-ada-kolam-renang-di-sumber-banjarsari-surakarta-hos18517925/,5700000000.0,Rumah Mewah Dijual Solo Ada Kolam Renang di Sumber Banjarsari Surakarta,"Banjarsari, Surakarta",Banjarsari,Surakarta,rumah,351.0,280.0,4.0,3.0,4.0
https://www.rumah123.com/properti/surakarta-banjarsari/rumah-dijual-solo-di-area-di-banyuanyar-banjarsari-solo-hos39461109/,1200000000.0,Rumah Dijual Solo Di Area Pak.jokowi Di Banyuanyar Banjarsari Solo,"Banjarsari, Surakarta",Banjarsari,Surakarta,rumah,152.0,152.0,3.0,1.0,1.0
https://www.rumah123.com/properti/sukoharjo-sukoharjo/rumah-dijual-solo-di-bulakrejo-sukoharjo-5-menit-ke-pemda-sukoharjo-hos16854021/,895000000.0,Rumah dijual  solo di Bulakrejo sukoharjo 5 menit ke pemda sukoharjo,"Sukoharjo, Sukoharjo",Sukoharjo,Sukoharjo,rumah,139.0,200.0,4.0,2.0,
https://www.rumah123.com/properti/sukoharjo-kartasura/rumah-murah-dijual-solo-di-wirogunan-kartasura-hos18323157/,375000000.0,Rumah Murah  Dijual Solo Di Wirogunan Kartasura,"Kartasura, Sukoharjo",Kartasura,Sukoharjo,rumah,80.0,50.0,2.0,1.0,1.0
https://www.rumah123.com/properti/surakarta-laweyan/rumah-dijual-solo-di-kerten-laweyan-surakarta-hos16042347/,5000000000.0,Rumah Dijual Solo Dekat Solo Ssquare di Kerten Laweyan Surakarta,"Laweyan, Surakarta",Laweyan,Surakarta,rumah,743.0,200.0,2.0,2.0,6.0
https://www.rumah123.com/properti/surakarta-laweyan/rumah-tengah-kota-call-08132912xxxx-dekat-solo-square-di-pajang-laweyan-solo-hos7516370/,1800000000.0,Rumah.dijual Solo Dekat Solo Square di Pajang Laweyan,"Laweyan, Surakarta",Laweyan,Surakarta,rumah,131.0,260.0,5.0,1.0,1.0
https://www.rumah123.com/properti/karanganyar-colomadu/rumah-cluster-dijual-solo-di-tohudan-colomadu-karanganyar-hos15567487/,725000000.0,Rumah Cluster Dijual Solo Di Tohudan Colomadu Karanganyar,"Colomadu, Karanganyar",Colomadu,Karanganyar,rumah,87.0,75.0,2.0,1.0,1.0
https://www.rumah123.com/properti/sukoharjo-kartasura/rumah-dijual-solo-di-singopuran-kartasura-sukoharjo-hos18520378/,2900000000.0,Rumah Dijual  Solo  Di Singopuran Kartasura Sukoharjo,"Kartasura, Sukoharjo",Kartasura,Sukoharjo,rumah,340.0,150.0,4.0,3.0,2.0
https://www.rumah123.com/properti/surakarta-laweyan/rumah-dijual-solo-di-penumping-laweyan-surakarta-hos39502364/,7500000000.0,Rumah Dijual Solo Di Penumping Laweyan Surakarta,"Laweyan, Surakarta",Laweyan,Surakarta,rumah,523.0,250.0,5.0,5.0,2.0
https://www.rumah123.com/properti/semarang-semarang-timur/rumah-badak-siap-pakai-hos41607654/,1850000000.0,Rumah Badak Siap Pakai,"Semarang Timur, Semarang",Semarang Timur,Semarang,rumah,132.0,150.0,4.0,2.0,
https://www.rumah123.com/properti/semarang-bsb-city/di-jual-rumah-tipe-48120m2-beranda-bali-payon-amartha-semarang-harga-promo-khusus-hos39084473/,1000000000.0,DI JUAL RUMAH TIPE 48/120m2 | BERANDA BALI PAYON AMARTHA SEMARANG | HARGA PROMO KHUSUS,"BSB City, Semarang",BSB City,Semarang,rumah,120.0,48.0,2.0,1.0,2.0
https://www.rumah123.com/properti/semarang-semarang-barat/rumah-siap-pakai-di-daerah-siliwangi-hos41607618/,1450000000.0,Rumah Siap Pakai di Daerah Siliwangi,"Semarang Barat, Semarang",Semarang Barat,Semarang,rumah,121.0,180.0,2.0,2.0,1.0
https://www.rumah123.com/properti/semarang-sambiroto/rumah-bagus-minimalis-bukit-elang-residence-hos41453478/,700000000.0,Rumah Bagus Minimalis Bukit Elang Residence,"Sambiroto, Semarang",Sambiroto,Semarang,rumah,90.0,90.0,3.0,2.0,1.0
https://www.rumah123.com/properti/semarang-mijen/rumah-1-kamar-di-taman-kayangan-cangkiran-shm-87m-free-actv-one-gate-systemproperty-hos41467624/,400000000.0,Rumah 1 Kamar di Taman Kayangan Cangkiran SHM 87M² Free Ac+Tv One Gate System`Property,"Mijen, Semarang",Mijen,Semarang,rumah,87.0,30.0,1.0,1.0,2.0
https://www.rumah123.com/properti/semarang-pudak-payung/rumah-mewah-cluster-de-villa-garden-2-pudak-payung-banyumanik-semarang-hos40390343/,644000000.0,Rumah Mewah Cluster De Villa Garden 2 Pudak Payung Banyumanik Semarang,"Pudak Payung, Semarang",Pudak Payung,Semarang,rumah,60.0,72.0,3.0,2.0,2.0
https://www.rumah123.com/properti/semarang-pedurungan/rumah-baru-3-lantai-cluster-palebon-raya-majapahit-tol-gayamsari-hos41523982/,1850000000.0,Rumah Baru 3 Lantai Cluster Palebon Raya Majapahit Tol Gayamsari,"Pedurungan, Semarang",Pedurungan,Semarang,rumah,80.0,160.0,3.0,3.0,2.0
https://www.rumah123.com/properti/semarang-ngaliyan/rumah-mewah-minimalis-cluster-amarilis-garden-gondorio-ngaliyan-semarang-hos41048344/,639000000.0,Rumah Mewah Minimalis Cluster Amarilis Garden Gondorio Ngaliyan Semarang,"Ngaliyan, Semarang",Ngaliyan,Semarang,rumah,120.0,50.0,2.0,1.0,2.0
https://www.rumah123.com/properti/semarang-semarang-timur/rumah-nias-siap-pakai-hos41607202/,1850000000.0,Rumah Nias Siap Pakai,"Semarang Timur, Semarang",Semarang Timur,Semarang,rumah,175.0,175.0,5.0,3.0,
