price_in_rp,city,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,garages,floors,rasio_tanah_bangunan,total_ruangan,city_encoded
1500000000.0, Bekasi,2.0,2.0,126.0,80.0,0.0,0.0,2.0,1.575,4.0,0
1250000000.0, Bekasi,2.0,2.0,84.0,56.0,1.0,1.0,2.0,1.5,4.0,0
1200000000.0, Bekasi,5.0,3.0,152.0,200.0,1.0,1.0,2.0,0.76,8.0,0
3200000000.0, Bekasi,5.0,5.0,376.0,700.0,3.0,2.0,2.0,0.5371428571428571,10.0,0
850000000.0, Bekasi,2.0,1.0,90.0,60.0,1.0,0.0,1.0,1.5,3.0,0
1280000000.0, Bekasi,3.0,2.0,139.0,120.0,1.0,1.0,1.0,1.1583333333333334,5.0,0
895000000.0, Bekasi,3.0,3.0,58.0,90.0,1.0,1.0,2.0,0.6444444444444445,6.0,0
1450000000.0, Bekasi,4.0,3.0,131.0,225.0,1.0,1.0,2.0,0.5822222222222222,7.0,0
1300000000.0, Bekasi,2.0,1.0,126.0,90.0,1.0,0.0,1.0,1.4,3.0,0
690000000.0, Bekasi,2.0,2.0,90.0,60.0,1.0,0.0,1.0,1.5,4.0,0
950000000.0, Bekasi,2.0,1.0,90.0,120.0,1.0,1.0,2.0,0.75,3.0,0
1350000000.0, Bekasi,4.0,3.0,90.0,160.0,1.0,1.0,2.0,0.5625,7.0,0
1000000000.0, Bekasi,3.0,2.0,138.0,120.0,1.0,1.0,1.0,1.15,5.0,0
2850000000.0, Bekasi,3.0,3.0,160.0,216.0,1.0,1.0,3.0,0.7407407407407407,6.0,0
1150000000.0, Bekasi,3.0,2.0,78.0,52.0,1.0,0.0,2.0,1.5,5.0,0
342000000.0, Bekasi,2.0,1.0,36.0,63.0,1.0,1.0,1.0,0.5714285714285714,3.0,0
327000000.0, Bekasi,2.0,1.0,36.0,60.0,1.0,1.0,1.0,0.6,3.0,0
975000000.0, Bekasi,2.0,1.0,90.0,70.0,1.0,0.0,1.0,1.2857142857142858,3.0,0
975000000.0, Bekasi,3.0,2.0,90.0,70.0,0.0,0.0,1.0,1.2857142857142858,5.0,0
1370000000.0, Bekasi,4.0,3.0,105.0,100.0,0.0,0.0,2.0,1.05,7.0,0
1370000000.0, Bekasi,4.0,3.0,105.0,100.0,1.0,0.0,2.0,1.05,7.0,0
2150000000.0, Bekasi,3.0,3.0,144.0,157.0,0.0,0.0,2.0,0.9171974522292994,6.0,0
2150000000.0, Bekasi,3.0,3.0,144.0,157.0,0.0,0.0,2.0,0.9171974522292994,6.0,0
2150000000.0, Bekasi,3.0,3.0,144.0,157.0,0.0,0.0,2.0,0.9171974522292994,6.0,0
1200000000.0, Bekasi,3.0,2.0,126.0,94.0,0.0,0.0,1.0,1.3404255319148937,5.0,0
1550000000.0, Bekasi,2.0,3.0,114.0,228.0,0.0,1.0,2.0,0.5,5.0,0
1250000000.0, Bekasi,2.0,2.0,108.0,69.0,0.0,0.0,1.0,1.565217391304348,4.0,0
168000000.0, Bekasi,2.0,1.0,60.0,29.0,1.0,1.0,1.0,2.0689655172413794,3.0,0
1400000000.0, Bekasi,3.0,1.0,144.0,77.0,0.0,0.0,1.0,1.87012987012987,4.0,0
799000000.0, Bekasi,3.0,2.0,77.0,140.0,0.0,0.0,2.0,0.55,5.0,0
779000000.0, Bekasi,3.0,2.0,54.0,63.0,1.0,0.0,2.0,0.8571428571428571,5.0,0
775000000.0, Bekasi,2.0,1.0,66.0,60.0,1.0,0.0,1.0,1.1,3.0,0
2150000000.0, Bekasi,3.0,3.0,144.0,157.0,2.0,2.0,2.0,0.9171974522292994,6.0,0
779000000.0, Bekasi,3.0,2.0,63.0,53.0,0.0,0.0,1.0,1.1886792452830188,5.0,0
1750000000.0, Bekasi,2.0,2.0,179.0,56.0,1.0,0.0,2.0,3.1964285714285716,4.0,0
750000000.0, Bekasi,2.0,1.0,94.0,75.0,1.0,0.0,1.0,1.2533333333333334,3.0,0
1250000000.0, Bekasi,5.0,4.0,125.0,136.0,1.0,1.0,2.0,0.9191176470588235,9.0,0
870000000.0, Bekasi,3.0,2.0,94.0,70.0,1.0,0.0,1.0,1.3428571428571427,5.0,0
1500000000.0, Bekasi,2.0,2.0,126.0,80.0,0.0,0.0,2.0,1.575,4.0,0
1500000000.0, Bekasi,3.0,2.0,105.0,105.0,0.0,0.0,2.0,1.0,5.0,0
4300000000.0, Bekasi,4.0,4.0,325.0,200.0,2.0,1.0,3.0,1.625,8.0,0
1300000000.0, Bekasi,2.0,2.0,90.0,90.0,0.0,0.0,2.0,1.0,4.0,0
1300000000.0, Bekasi,2.0,2.0,90.0,90.0,0.0,0.0,2.0,1.0,4.0,0
1800000000.0, Bekasi,2.0,2.0,133.0,80.0,1.0,1.0,2.0,1.6625,4.0,0
520000000.0, Bekasi,3.0,1.0,36.0,60.0,0.0,1.0,1.0,0.6,4.0,0
1300000000.0, Bekasi,2.0,2.0,84.0,56.0,2.0,0.0,2.0,1.5,4.0,0
685000000.0, Bekasi,2.0,1.0,94.0,110.0,1.0,1.0,1.0,0.8545454545454545,3.0,0
930000000.0, Bekasi,2.0,1.0,105.0,70.0,1.0,1.0,1.0,1.5,3.0,0
685000000.0, Bekasi,2.0,1.0,94.0,110.0,1.0,1.0,1.0,0.8545454545454545,3.0,0
2100000000.0, Bekasi,4.0,3.0,180.0,150.0,2.0,0.0,2.0,1.2,7.0,0
520000000.0, Bekasi,3.0,1.0,60.0,45.0,1.0,0.0,1.0,1.3333333333333333,4.0,0
520000000.0, Bekasi,3.0,1.0,60.0,45.0,1.0,0.0,1.0,1.3333333333333333,4.0,0
1200000000.0, Bekasi,2.0,1.0,119.0,63.0,1.0,1.0,1.0,1.8888888888888888,3.0,0
1200000000.0, Bekasi,2.0,1.0,119.0,63.0,0.0,0.0,1.0,1.8888888888888888,3.0,0
2170000000.0, Bekasi,3.0,2.0,144.0,121.0,0.0,0.0,1.0,1.1900826446280992,5.0,0
1450000000.0, Bekasi,4.0,3.0,131.0,225.0,2.0,0.0,2.0,0.5822222222222222,7.0,0
1200000000.0, Bekasi,2.0,2.0,90.0,53.0,1.0,1.0,2.0,1.6981132075471699,4.0,0
1450000000.0, Bekasi,4.0,3.0,131.0,225.0,2.0,0.0,2.0,0.5822222222222222,7.0,0
1400000000.0, Bekasi,2.0,2.0,108.0,69.0,2.0,0.0,2.0,1.565217391304348,4.0,0
620000000.0, Bekasi,2.0,1.0,96.0,70.0,1.0,0.0,1.0,1.3714285714285714,3.0,0
1450000000.0, Bekasi,2.0,2.0,144.0,110.0,1.0,0.0,1.0,1.309090909090909,4.0,0
1800000000.0, Bekasi,3.0,2.0,144.0,120.0,0.0,0.0,1.0,1.2,5.0,0
1600000000.0, Bekasi,3.0,2.0,160.0,260.0,0.0,0.0,2.0,0.6153846153846154,5.0,0
3000000000.0, Bekasi,4.0,5.0,160.0,280.0,0.0,0.0,2.0,0.5714285714285714,9.0,0
